"","X","gradu","skilled","income","net_in_ra","net_in","X20_net_in","X20_net_in_ra","연도","V10","Network"
"10","서울특별시2010",0.3120638,0.1642239,32314943,-0.050434592,-520109,-118739,-0.034250248,2010,0.3367354039,1.84530857730646
"11","부산광역시2010",0.2437894,0.1032379,20171146,-0.029916954,-106741,-66902,-0.063802932,2010,0.2453483011,0.778565770583762
"12","대구광역시2010",0.2395602,0.1119169,17563960,-0.02469586,-62028,-41561,-0.056094532,2010,0.2484943097,0.815288480256289
"13","인천광역시2010",0.1940141,0.1129024,25124623,0.033199483,91574,45196,0.052999889,2010,0.2169899655,0.44754476668858
"14","광주광역시2010",0.2814164,0.1262895,20938455,-0.001776389,-2584,-9093,-0.020231934,2010,0.2882480713,1.27932594208257
"15","대전광역시2010",0.2832316,0.1463847,22111260,-0.003810027,-5729,-2269,-0.004825529,2010,0.3037387241,1.46014513800349
"16","울산광역시2010",0.1979019,0.104792,58824783,0.006611039,7446,8561,0.02510064,2010,0.2140045873,0.412697062552841
"17","수원시2010",0.319205,0.1655024,22162786,0.05016728,54057,32051,0.089093911,2010,0.3426881318,1.91479354261496
"18","성남시2010",0.3813249,0.1750737,25329489,-0.02739877,-26856,-1207,-0.003789817,2010,0.3933738102,2.50643701505755
"19","의정부시2010",0.2199035,0.1134832,11306305,-0.033872085,-14626,-5299,-0.040650063,2010,0.2357043969,0.665994465455652
"20","안양시2010",0.3452682,0.1667161,21726070,-0.06212342,-38623,-9799,-0.050223466,2010,0.3619729001,2.13990066641076
"21","부천시2010",0.2588611,0.1327385,15894613,-0.055040882,-48172,-16068,-0.056212185,2010,0.2768609172,1.14640604033448
"22","광명시2010",0.2859868,0.1491803,20098549,0.048813601,16791,10478,0.095762085,2010,0.3076631397,1.50595403207744
"23","평택시2010",0.1969708,0.092687,49099808,0.05000751,20976,13290,0.105644299,2010,0.2047880646,0.305114493547038
"24","동두천시2010",0.1372805,0.0811391,16694489,0.012137622,1161,-311,-0.011270158,2010,0.1544226572,-0.282790521553279
"25","안산시2010",0.2115781,0.1120227,27229579,-0.037769394,-27001,-5969,-0.026097298,2010,0.2287857656,0.585234708930779
"26","고양시2010",0.3705704,0.1657844,16300203,0.041150808,39098,24892,0.09033979,2010,0.3792028436,2.34102224402645
"27","과천시2010",0.5432401,0.232066,86869616,-0.058121999,-4201,-373,-0.018732893,2010,0.5481414127,4.3130073255521
"28","구리시2010",0.2855455,0.1408946,13715481,-0.082724875,-16247,-4434,-0.072605802,2010,0.3014931507,1.43393302274845
"29","남양주시2010",0.2547986,0.1269306,11571506,0.159536357,90001,35825,0.217106738,2010,0.2698825444,1.06494893359897
"30","오산시2010",0.2247067,0.1205764,17215247,0.199023647,36325,18637,0.292544717,2010,0.2441151517,0.764171471916222
"31","시흥시2010",0.1903645,0.1053968,28257298,-0.051107363,-20637,-3818,-0.029325243,2010,0.2091032391,0.355484635685171
"32","군포시2010",0.3479599,0.1704588,18351426,-0.007188196,-2069,3467,0.03746569,2010,0.3665220209,2.19300161546845
"33","의왕시2010",0.3465307,0.1619666,17995259,0.080051274,11803,4680,0.103828107,2010,0.3595075911,2.11112362280698
"34","하남시2010",0.2500671,0.1180091,19875325,-0.028681743,-4316,-2519,-0.053291304,2010,0.2602298734,0.952275295422192
"35","용인시2010",0.4444883,0.1908966,30495246,0.097422851,85396,48199,0.178194724,2010,0.4492171243,3.15828450550816
"36","파주시2010",0.2328168,0.1118662,35223579,0.208544225,74165,31937,0.304719105,2010,0.243690881,0.759219047520859
"37","이천시2010",0.1755347,0.0980272,47747348,4.94e-06,1,-90,-0.001440253,2010,0.1934082633,0.172280419517189
"38","안성시2010",0.2186957,0.0878819,34790639,0.032680106,5815,1417,0.02667495,2010,0.2167503632,0.444747938447306
