"","gradu2015","skilled2015","service2015","manu2015","enov2015","young2015","V7","V8"
"1",0.388245694,0.188937139,0.380441945,0.110557654,0.126851605,0.87,1.10320919885295,0.953699862556
"2",0.329457591,0.12105844,0.371214465,0.184170572,0.066248332,0.85,1.0615996235079,0.915731009604
"3",0.308646777,0.131168484,0.363599214,0.214223044,0.064893101,0.87,1.07619159091417,0.927212063211
"4",0.261835888,0.128935606,0.342219948,0.216282579,0.070461404,0.89,1.05230381082698,0.90610046477
"5",0.371381417,0.147328192,0.393405649,0.154462433,0.07304528,0.89,1.11568801387226,0.96355314866
"6",0.359532132,0.166681871,0.396570098,0.125558305,0.105623817,0.89,1.10542922827526,0.955659629192
"7",0.261533565,0.113189627,0.30646836,0.362812212,0.054952669,0.91,1.11660773519536,0.95616408582
"8",0.410565202,0.184057335,0.374779188,0.200901126,0.098812802,0.92,1.18680415220791,1.022710796559
"9",0.476923531,0.195504849,0.376454758,0.137139895,0.114236555,0.89,1.18049866786049,1.019079001812
"10",0.288932098,0.121523007,0.394721226,0.124373694,0.079031967,0.88,1.03962611304793,0.899245425462
"11",0.418855016,0.178397831,0.356508012,0.170774239,0.110324363,0.9,1.15501896065507,0.995766900062
"12",0.315208635,0.147050806,0.348173866,0.213648719,0.083161928,0.9,1.09879425591809,0.94618202567
"13",0.348579357,0.150779693,0.345391408,0.169605809,0.102013966,0.9,1.09880600396344,0.947320018881
"14",0.26534021,0.102127985,0.305425998,0.307130451,0.042782705,0.89,1.07211946386774,0.919523685222
"15",0.202886027,0.099632728,0.381209025,0.192086046,0.043302769,0.84,0.979232662151172,0.845229189187
"16",0.261222943,0.114273831,0.31665869,0.307895934,0.064662991,0.92,1.10147659533815,0.945006124638
"17",0.453049992,0.173845721,0.382649854,0.114076761,0.107516849,0.89,1.15085821669423,0.994488829222
"18",0.628205253,0.212234658,0.359862176,0.097186096,0.160929636,0.88,1.2477451922775,1.077300789402
"19",0.355461429,0.145145974,0.378698225,0.115559335,0.092973955,0.9,1.08831935684311,0.940763680823
"20",0.334411748,0.141084792,0.368213082,0.142397167,0.081941698,0.89,1.07517989625297,0.928463330162
"21",0.287497435,0.125356559,0.330982529,0.332224715,0.053584308,0.93,1.14400176064629,0.981187461057
"22",0.236575987,0.107059458,0.29279444,0.352180363,0.050937779,0.92,1.09396393268226,0.936672903251
"23",0.413947517,0.172400858,0.341241949,0.216679411,0.101366056,0.9,1.16534337609409,1.00291556985
"24",0.446120799,0.184953402,0.350894498,0.168279105,0.115122689,0.9,1.16976196144028,1.008305454669
"25",0.338417368,0.131061181,0.348493932,0.123762706,0.080798796,0.88,1.04936944313405,0.906286443927
"26",0.551729904,0.208728476,0.368844969,0.156123932,0.115007847,0.89,1.23473511371287,1.064803270265
"27",0.3095148,0.133208214,0.324350666,0.24396081,0.059172322,0.88,1.07917880070267,0.927842443128
"28",0.244510126,0.128207404,0.303824241,0.270135859,0.040490844,0.88,1.03960910374146,0.892640643636
"29",0.308871575,0.106745802,0.314540059,0.273093794,0.042188105,0.86,1.06667932388886,0.916029009513
"30",0.374998215,0.144861653,0.32623503,0.213666417,0.078898453,0.89,1.11628672847044,0.960525203446
"31",0.357469396,0.166270565,0.287256839,0.333023892,0.070528167,0.92,1.17175681516583,1.003694770104
"32",0.298908192,0.132183281,0.335152225,0.217975938,0.062364823,0.89,1.07144024940847,0.922242175572
"33",0.241104041,0.102313523,0.326962574,0.222749572,0.050877398,0.87,1.0130946418312,0.871870990983
"34",0.202811824,0.076252704,0.293106856,0.268912989,0.035421087,0.85,0.97562580388252,0.837516684449
"35",0.218895455,0.088645991,0.33112708,0.159304085,0.042681543,0.83,0.938603636521873,0.809875293722
"36",0.197263302,0.070912958,0.262205983,0.079835579,0.029139073,0.78,0.812775497271454,0.702238318809
"37",0.255757208,0.088133536,0.432463191,0.051746212,0.033323849,0.78,0.920090639791948,0.799811659131
"38",0.312695277,0.132851358,0.395210647,0.053145795,0.057574611,0.79,0.958569968557892,0.831694646943
"39",0.436488863,0.149259608,0.453033157,0.051919267,0.065404475,0.85,1.10397247122814,0.957989662685
"40",0.361184063,0.134675322,0.396498054,0.13455121,0.055259513,0.88,1.08833232198824,0.940736749073
"41",0.390878894,0.117205813,0.419371852,0.077737675,0.058212768,0.83,1.05162558327055,0.911452355255
"42",0.276279473,0.094678335,0.369653298,0.094548159,0.042260745,0.84,0.966119472947852,0.836326468384
"43",0.239529099,0.096713891,0.456182532,0.060255152,0.036113837,0.81,0.94818981018285,0.8243576453
"44",0.261382843,0.101512565,0.481818182,0.051587517,0.050420624,0.85,0.998562437187451,0.868515740911
"45",0.345207102,0.082656947,0.333376372,0.059522272,0.035377663,0.79,0.935404055387405,0.80988355473
"46",0.213962896,0.071089199,0.293708665,0.064948279,0.033548132,0.79,0.837490370378833,0.724726874433
"47",0.209004447,0.068424472,0.248446125,0.105272308,0.028426131,0.76,0.81253086250154,0.700921256449
"48",0.197988233,0.082102866,0.2918787,0.063038737,0.026845986,0.76,0.808315099411398,0.699712271184
"49",0.214283263,0.079137925,0.324507195,0.047769408,0.042311336,0.78,0.840617827570564,0.728753122131
"50",0.218927639,0.079082808,0.437721699,0.041653998,0.027820006,0.77,0.885784266540467,0.770839730458
"51",0.223288282,0.072850839,0.266184573,0.054622934,0.031293044,0.81,0.837588856608041,0.724322124813
"52",0.258303764,0.067977483,0.245636095,0.030621302,0.019674556,0.82,0.839718719439055,0.726217307521
"53",0.237874594,0.074918763,0.256811643,0.022169572,0.021661872,0.83,0.837081685415353,0.724521312965
"54",0.271165563,0.093042694,0.311848454,0.044439149,0.029546673,0.83,0.900652761086116,0.779950184161
"55",0.302697401,0.063903874,0.342571683,0.054061452,0.026825429,0.77,0.892562066592816,0.773573995597
"56",0.238612807,0.077091154,0.367302531,0.05606731,0.028214985,0.75,0.857729006099024,0.744379083569
