"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"1","000020","동화약품",10500,-200,-1.87,"KOSPI","의약품",293280435000,647,16.23,NA,NA,12534,0.84,180,1.71
"2","000040","KR모터스",707,-14,-1.94,"KOSPI","운수장비",67969894755,NA,NA,NA,NA,385,1.84,0,0
"3","000050","경방",13000,-100,-0.76,"KOSPI","유통업",356398510000,872,14.91,NA,NA,30033,0.43,125,0.96
"4","000060","메리츠화재",36500,-600,-1.62,"KOSPI","보험",4.263273e+12,5768,6.33,6211,5.88,22086,1.65,620,1.7
"5","000070","삼양홀딩스",74500,0,0,"KOSPI","기타금융",638038189500,30711,2.43,NA,NA,226314,0.33,3000,4.03
"6","000075","삼양홀딩스우",59500,-100,-0.17,"KOSPI","기타금융",18091451000,NA,NA,NA,NA,NA,NA,3050,5.13
"7","000080","하이트진로",31250,-200,-0.64,"KOSPI","음식료품",2191675343750,1031,30.31,1876,16.66,15657,2,800,2.56
"8","000087","하이트진로2우B",18750,-200,-1.06,"KOSPI","음식료품",21190087500,NA,NA,NA,NA,NA,NA,850,4.53
"9","000105","유한양행우",56500,100,0.18,"KOSPI","의약품",66723110000,NA,NA,NA,NA,NA,NA,410,0.73
"10","000145","하이트진로홀딩스우",15100,-150,-0.98,"KOSPI","기타금융",7109231000,NA,NA,NA,NA,NA,NA,500,3.31
"11","000150","두산",79600,2000,2.58,"KOSPI","기타금융",1315297266000,11890,6.69,6709,11.86,121631,0.65,2000,2.51
"12","000155","두산우",51500,1400,2.79,"KOSPI","기타금융",205817793000,NA,NA,NA,NA,NA,NA,2050,3.98
"13","000157","두산2우B",1e+05,2400,2.46,"KOSPI","기타금융",89303800000,NA,NA,NA,NA,NA,NA,2000,2
"14","000180","성창기업지주",2200,5,0.23,"KOSPI","서비스업",153453520000,94,23.4,NA,NA,8360,0.26,0,0
"15","000210","DL",66800,-600,-0.89,"KOSPI","기타금융",1399853051200,41881,1.59,17619,3.79,173922,0.38,1900,2.84
"16","000215","DL우",39850,50,0.13,"KOSPI","기타금융",67191682750,NA,NA,NA,NA,NA,NA,1950,4.89
"17","000220","유유제약",6820,-30,-0.44,"KOSPI","의약품",117524633820,NA,NA,NA,NA,6458,1.06,105,1.54
"18","000225","유유제약1우",9410,-50,-0.53,"KOSPI","의약품",21331811300,NA,NA,NA,NA,NA,NA,110,1.17
"19","000227","유유제약2우B",17650,0,0,"KOSPI","의약품",5746134000,NA,NA,NA,NA,NA,NA,110,0.62
"20","000230","일동홀딩스",30800,2850,10.2,"KOSPI","의약품",355444320000,NA,NA,NA,NA,4723,6.52,100,0.32
"21","000240","한국앤컴퍼니",13000,-100,-0.76,"KOSPI","기타금융",1234158120000,2094,6.21,2054,6.33,39349,0.33,600,4.62
"22","000250","삼천당제약",36350,-600,-1.62,"KOSDAQ","제약",827618290350,NA,NA,NA,NA,7889,4.61,0,0
"23","000270","기아",81100,-400,-0.49,"KOSPI","운수장비",32874967441700,11874,6.83,16152,5.02,87073,0.93,3000,3.7
"24","000300","대유플러스",929,-13,-1.38,"KOSPI","전기전자",112407861046,NA,NA,NA,NA,857,1.08,0,0
"25","000320","노루홀딩스",11450,-200,-1.72,"KOSPI","기타금융",152183678950,153,74.84,420,27.28,35333,0.32,450,3.93
"26","000325","노루홀딩스우",21650,700,3.34,"KOSPI","기타금융",5273052350,NA,NA,NA,NA,NA,NA,455,2.1
"27","000390","삼화페인트",8330,-110,-1.3,"KOSPI","화학",226604896770,NA,NA,NA,NA,12494,0.67,100,1.2
"28","000400","롯데손해보험",1695,-45,-2.59,"KOSPI","보험",526020062400,379,4.47,NA,NA,3242,0.52,0,0
"29","000440","중앙에너비스",21450,0,0,"KOSDAQ","유통",133571938500,57,376.32,NA,NA,13455,1.59,320,1.49
"30","000480","조선내화",77600,-200,-0.26,"KOSPI","비금속광물",3.104e+11,7840,9.9,NA,NA,207776,0.37,4500,5.8
"31","000490","대동",12050,-100,-0.82,"KOSPI","기계",288384865700,1619,7.44,1889,6.38,16953,0.71,80,0.66
"32","000500","가온전선",20950,-2950,-12.34,"KOSPI","전기전자",87159269650,1489,14.07,NA,NA,68205,0.31,420,2
"33","000520","삼일제약",8090,-30,-0.37,"KOSPI","의약품",110846308050,NA,NA,293,27.64,5254,1.54,80,0.99
"34","000540","흥국화재",3330,-35,-1.04,"KOSPI","보험",213928007850,873,3.81,NA,NA,10599,0.31,0,0
"35","000545","흥국화재우",7170,70,0.99,"KOSPI","보험",5506560000,NA,NA,NA,NA,NA,NA,0,0
"36","000547","흥국화재2우B",22250,-1650,-6.9,"KOSPI","보험",3417600000,NA,NA,NA,NA,NA,NA,0,0
"37","000590","CS홀딩스",66600,1500,2.3,"KOSPI","기타금융",76888501200,12789,5.21,NA,NA,226165,0.29,500,0.75
"38","000650","천일고속",64900,0,0,"KOSPI","운수창고업",92756378000,NA,NA,NA,NA,25177,2.58,2500,3.85
"39","000660","SK하이닉스",92100,-3000,-3.15,"KOSPI","전기전자",67049017816500,13989,6.58,11611,7.93,90394,1.02,1540,1.67
"40","000670","영풍",587000,8000,1.38,"KOSPI","철강금속",1081277480000,72187,8.13,173992,3.37,2011831,0.29,10000,1.7
"41","000680","LS네트웍스",3130,30,0.97,"KOSPI","유통업",246653440080,818,3.83,NA,NA,7533,0.42,0,0
"42","000700","유수홀딩스",6120,70,1.16,"KOSPI","서비스업",159375889440,991,6.18,NA,NA,13108,0.47,400,6.54
"43","000720","현대건설",46800,3700,8.58,"KOSPI","건설업",5211449802000,3625,12.91,4809,9.73,64200,0.73,600,1.28
"44","000725","현대건설우",72300,2200,3.14,"KOSPI","건설업",76254303900,NA,NA,NA,NA,NA,NA,650,0.9
