연도,사업,경제성 평가 비중,정책성 평가 비중,지역균형발전 비중,지역낙후도 평가 비중,B/C,AHP,시기
2005,당진 대산 간 고속도로 건설사업,0.600,0.265,0.135,0.078,0.560,0.647,개정1 이전
2005,국도42호선 확장사업,0.450,0.397,0.153,0.051,0.400,0.395,개정1 이전
2005,부산지하철 1호선 연장,0.513,0.227,0.159,0.036,0.930,0.502,개정1 이전
2005,국도4호선 군장대교 건설사업,0.563,0.316,0.121,0.067,1.930,0.789,개정1 이전
2005,국도82호선 확장사업,0.551,0.395,0.054,0.033,1.110,0.466,개정1 이전
2005,대전~논산 간 도로(벌곡길) 확장사업,0.650,0.290,0.060,0.012,0.575,0.443,개정1 이전
2005,삼동~창선 간 국도 확장사업,0.551,0.233,0.216,0.167,0.390,0.420,개정1 이전
2005,광양항 서측 배후단지 개발사업,0.498,0.299,0.203,0.046,1.470,0.710,개정1 이전
2005,소요산 분계선 철도 건설사업,0.490,0.392,0.118,0.075,1.000,0.431,개정1 이전
2005,서산 간척지 농업기간시설 재정비사업,0.583,0.373,0.044,0.024,1.100,0.687,개정1 이전
2005,그린바이오 첨단연구단지 조성사업,0.440,0.449,0.111,0.072,1.220,0.687,개정1 이전
2005,광역도로1 건설사업 화천,0.630,0.328,0.042,0.011,2.039,0.789,개정1 이전
2005,광역도로1 건설사업 천안,0.640,0.323,0.037,0.001,1.040,0.604,개정1 이전
2005,탕정지방산간 진입도로 건설사업,0.561,0.344,0.095,0.035,1.300,0.724,개정1 이전
2005,호남선 선형개량사업,0.490,0.257,0.253,0.031,0.585,0.488,개정1 이전
2005,소사~대곡 복선전철 건설 사업,0.492,0.462,0.046,0.017,0.800,0.501,개정1 이전
2005,대구지하철 2호선 경산연장사업,0.550,0.360,0.090,0.029,1.080,0.597,개정1 이전
2005,군산항 제2준설토 투기장 가호안 축조사업,0.559,0.365,0.076,0.044,2.030,0.776,개정1 이전
2005,목감천 지하방수로 건설사업,0.490,0.390,0.120,0.000,4.900,0.500,개정1 이전
2005,춘천 철원 간 고속도로 건설사업,0.650,0.270,0.080,0.040,0.420,0.450,개정1 이전
2006,재활전문산재병원 건립사업,0.416,0.584,0.036,0.008,1.080,0.683,개정1 이전
2006,국도77호선(염산~백수) 건설사업,0.845,0.308,0.207,0.138,1.450,0.687,개정1
2006,동부간선도로 확장사업,0.486,0.325,0.188,0.126,1.330,0.639,개정1
2006,여월택지 남부순환도로 간 도로건설사업,0.476,0.334,0.190,0.126,1.560,0.573,개정1
2006,순천~여수 복선전철화 건설사업,0.434,0.333,0.233,0.155,0.720,0.522,개정1
2006,국도2호선 건설사업,0.451,0.307,0.242,0.162,0.450,0.442,개정1
2006,서해안고속도로 확장사업,0.487,0.316,0.197,0.132,1.400,0.623,개정1
2006,석도 소사 및 성주동 석동 간 도로개설사업,0.464,0.340,0.195,0.130,1.672,0.653,개정1
2006,국도77호선 여수 남해 건설사업,0.450,0.316,0.233,0.155,0.108,0.312,개정1
2006,국도79호선 북면 부곡 확장사업,0.484,0.274,0.242,0.161,0.613,0.322,개정1
2006,국도5호선 춘천 화천 확장사업,0.459,0.299,0.242,0.162,0.600,0.529,개정1
2006,부산신항 웅동지구 배후부지 조성사업,0.484,0.352,0.164,0.109,2.110,0.730,개정1
2006,산악지 철도 개량 사업1,0.469,0.309,0.223,0.149,0.530,0.479,개정1
2006,산악지 철도 개량 사업2,0.470,0.317,0.213,0.142,0.470,0.452,개정1
2006,애월항 외항 개발사업,0.450,0.335,0.214,0.143,0.300,0.413,개정1
2006,DRY DOCK 신축사업,0.493,0.342,0.166,0.110,16.210,0.768,개정1
2006,국도 28 7호선 포항흥해 우회도로 건설사업,0.450,0.300,0.250,0.167,0.170,0.329,개정1
2006,장항선 복선전철화사업,0.459,0.326,0.215,0.143,0.630,0.488,개정1
2006,대도시권 교통혼잡로 하남산단 개선사업,0.486,0.334,0.180,0.120,0.975,0.527,개정1
2006,대도시권 교통혼잡로 유등천 개선사업,0.496,0.291,0.213,0.142,0.400,0.307,개정1
2006,간월호 관광도로 개설사업,0.436,0.329,0.235,0.157,0.700,0.343,개정1
2006,노량진수산물도매시장 현대화 사업,0.484,0.352,0.164,0.109,1.000,0.568,개정1
2006,부산 북항대교 및 천마터널 지원사업,0.484,0.326,0.190,0.126,1.050,0.468,개정1
2006,대도시권 교통혼잡로 계백로 개선사업,0.487,0.299,0.213,0.142,1.210,0.592,개정1
2006,중규모 용수개발 사업,0.495,0.307,0.197,0.132,0.930,0.568,개정1
2006,영산강 강변도로 개설사업,0.425,0.342,0.233,0.155,0.600,0.515,개정1
2006,서해안고속도로 확장사업,0.494,0.316,0.190,0.126,2.210,0.702,개정1
2006,대도시권 교통혼잡로 옥동 농소 개선사업,0.493,0.333,0.174,0.116,0.954,0.507,개정1
2006,국지도 55호선 건설사업,0.467,0.333,0.200,0.134,0.570,0.352,개정1
2006,공주 청원 간 고속도로 건설사업,0.493,0.325,0.182,0.122,1.010,0.590,개정1
2006,오송역 ~ 세종 간 광역교통시설 사업,0.485,0.343,0.172,0.115,0.037,0.597,개정1
